,0
temperature_change_24h,0.0006798096532970768
humidity_change_24h,0.0006798096532970768
wind_lag_12h,0.0003399048266485384
dew_point_lag_12h,0.0003399048266485384
precipitation_lag_12h,0.0003399048266485384
temperature_lag_12h,0.0003399048266485384
humidity_lag_12h,0.0003399048266485384
pressure_lag_12h,0.0003399048266485384
wind_lag_6h,0.0001699524133242692
dew_point_lag_6h,0.0001699524133242692
temperature_change_6h,0.0001699524133242692
pressure_change_6h,0.0001699524133242692
temperature_lag_6h,0.0001699524133242692
precipitation_lag_6h,0.0001699524133242692
humidity_change_6h,0.0001699524133242692
wind_change_6h,0.0001699524133242692
humidity_lag_6h,0.0001699524133242692
pressure_lag_6h,0.0001699524133242692
pressure_change_3h,8.49762066621346e-05
dew_point_lag_3h,8.49762066621346e-05
temperature_lag_3h,8.49762066621346e-05
precipitation_lag_3h,8.49762066621346e-05
humidity_lag_3h,8.49762066621346e-05
wind_lag_3h,8.49762066621346e-05
pressure_lag_3h,8.49762066621346e-05
humidity_lag_1h,2.8325402220711535e-05
humidity_rolling_std_48h,2.8325402220711535e-05
humidity_rolling_std_6h,2.8325402220711535e-05
temperature_lag_1h,2.8325402220711535e-05
humidity_rolling_std_12h,2.8325402220711535e-05
temperature_rolling_std_3h,2.8325402220711535e-05
humidity_change_1h,2.8325402220711535e-05
humidity_rolling_std_24h,2.8325402220711535e-05
pressure_lag_1h,2.8325402220711535e-05
temperature_change_1h,2.8325402220711535e-05
humidity_rolling_std_168h,2.8325402220711535e-05
humidity_rolling_std_72h,2.8325402220711535e-05
humidity_rolling_std_3h,2.8325402220711535e-05
wind_lag_1h,2.8325402220711535e-05
wind_rolling_std_3h,2.8325402220711535e-05
precipitation_lag_1h,2.8325402220711535e-05
dew_point_lag_1h,2.8325402220711535e-05
wind_rolling_std_6h,2.8325402220711535e-05
wind_rolling_std_12h,2.8325402220711535e-05
wind_rolling_std_24h,2.8325402220711535e-05
wind_rolling_std_48h,2.8325402220711535e-05
wind_rolling_std_168h,2.8325402220711535e-05
wind_change_1h,2.8325402220711535e-05
