feature_name,dtype,missing_percentage,unique_values,used_for_training,reason_if_excluded
pm25_pct_change_24h,float64,0.27192386131883073,69968,True,
pm10_change_1h,float64,0.2067754362111942,3919,True,
pm10_pct_change_1h,float64,0.2067754362111942,57047,True,
pm10_change_6h,float64,0.22093813732154996,9168,True,
pm10_pct_change_6h,float64,0.22093813732154996,84140,True,
pm10_change_24h,float64,0.27192386131883073,9188,True,
pm10_pct_change_24h,float64,0.27192386131883073,82636,True,
temperature_change_1h,float64,0.0028325402220711533,583,True,
temperature_change_6h,float64,0.01699524133242692,1341,True,
temperature_change_24h,float64,0.06798096532970768,922,True,
humidity_change_1h,float64,0.0028325402220711533,84,True,
humidity_change_6h,float64,0.01699524133242692,156,True,
humidity_change_24h,float64,0.06798096532970768,138,True,
pressure_change_3h,float64,0.00849762066621346,170,True,
pressure_change_6h,float64,0.01699524133242692,233,True,
pressure_change_24h,float64,0.06798096532970768,352,True,
wind_change_1h,float64,0.0028325402220711533,1285,True,
wind_change_6h,float64,0.01699524133242692,1633,True,
wind_change_24h,float64,0.06798096532970768,1658,True,
pm25_pm10_ratio,float64,0.20394289598912305,61553,True,
pm25_to_aqi_ratio,float64,0.27758894176297305,39022,True,
pm10_to_aqi_ratio,float64,0.27758894176297305,48120,True,
no2_o3_ratio,float64,2.344399123800891,48963,True,
co_no2_ratio,float64,0.418271772792507,77592,True,
temperature_humidity_interaction,float64,0.0,11882,True,
temperature_pressure_interaction,float64,0.0,67383,True,
humidity_pressure_interaction,float64,0.0,43238,True,
wind_pm25_interaction,float64,0.20394289598912305,39458,True,
wind_pm10_interaction,float64,0.20394289598912305,51377,True,
wind_aqi_interaction,float64,0.27758894176297305,14886,True,
humidity_pm25_interaction,float64,0.20394289598912305,30558,True,
humidity_pm10_interaction,float64,0.20394289598912305,35719,True,
temperature_pm25_interaction,float64,0.20394289598912305,50950,True,
temperature_ozone_interaction,float64,0.20394289598912305,26609,True,
pm25_no2_interaction,float64,0.20394289598912305,68654,True,
wind_direction_sin,float64,0.0,318,True,
wind_direction_cos,float64,0.0,318,True,
wind_speed_squared,float64,0.0,421,True,
calm_wind,int8,0.0,2,True,
low_wind,int8,0.0,2,True,
high_wind,int8,0.0,2,True,
high_pm25,int8,0.0,2,True,
high_pm10,int8,0.0,2,True,
high_no2,int8,0.0,2,True,
high_ozone,int8,0.0,2,True,
aqi_above_100,int8,0.0,2,True,
aqi_above_150,int8,0.0,2,True,
aqi_above_200,int8,0.0,2,True,
consecutive_high_aqi_hours,int32,0.0,3193,True,
consecutive_high_pm25_hours,int32,0.0,1438,True,
